Date,Open
2023-12-01,0.791650
2023-12-04,0.786650
2023-12-05,0.791510
2023-12-06,0.793970
2023-12-07,0.796305
2023-12-08,0.794401
2023-12-11,0.796340
2023-12-12,0.796550
2023-12-13,0.795564
2023-12-14,0.792290
2023-12-15,0.783020
2023-12-18,0.789090
2023-12-19,0.790300
2023-12-20,0.785500
2023-12-21,0.791100
2023-12-22,0.788260
2023-12-25,0.788830
2023-12-26,0.787100
2023-12-27,0.785650
2023-12-28,0.781110
2023-12-29,0.785210
2024-01-01,0.785546
2024-01-02,0.785640
2024-01-03,0.792160
2024-01-04,0.788940
2024-01-05,0.788510
2024-01-08,0.786350
2024-01-09,0.784810
2024-01-10,0.786500
2024-01-11,0.784610
2024-01-12,0.782500
2024-01-15,0.785150
2024-01-16,0.786340
2024-01-17,0.791189
2024-01-18,0.788790
2024-01-19,0.786660
2024-01-22,0.787350
2024-01-23,0.786890
2024-01-24,0.787760
2024-01-25,0.786260
2024-01-26,0.786970
2024-01-29,0.787580
2024-01-30,0.786530
2024-01-31,0.787700
2024-02-01,0.788600
2024-02-02,0.784480
2024-02-05,0.792590
2024-02-06,0.797800
2024-02-07,0.793400
2024-02-08,0.791920
2024-02-09,0.792300
2024-02-12,0.791220
2024-02-13,0.791920
2024-02-14,0.794200
2024-02-15,0.795660
2024-02-16,0.793700
2024-02-19,0.792950
2024-02-20,0.794390
2024-02-21,0.791990
2024-02-22,0.791210
2024-02-23,0.789800
2024-02-26,0.789200
2024-02-27,0.788360
2024-02-28,0.788600
2024-02-29,0.789770
2024-03-01,0.791940
2024-03-04,0.789810
2024-03-05,0.788000
2024-03-06,0.787090
2024-03-07,0.785150
2024-03-08,0.780410
2024-03-11,0.777840
2024-03-12,0.780120
2024-03-13,0.781460
2024-03-14,0.781130
2024-03-15,0.784530
2024-03-18,0.785430
2024-03-19,0.785720
2024-03-20,0.786300
2024-03-21,0.781350
2024-03-22,0.789800
2024-03-25,0.793780
2024-03-26,0.791330
2024-03-27,0.791870
2024-03-28,0.792575
2024-03-29,0.792130
2024-04-01,0.791250
2024-04-02,0.796970
2024-04-03,0.795130
2024-04-04,0.790270
2024-04-05,0.791160
2024-04-08,0.792000
2024-04-09,0.789900
2024-04-10,0.788787
2024-04-11,0.797640
2024-04-12,0.796410
2024-04-15,0.802560
2024-04-16,0.803410
2024-04-17,0.804440
2024-04-18,0.802980
2024-04-19,0.804100
2024-04-22,0.808000
2024-04-23,0.809710
2024-04-24,0.802890
2024-04-25,0.802590
2024-04-26,0.799490
2024-04-29,0.799300
2024-04-30,0.796180
2024-05-01,0.800680
2024-05-02,0.797630
2024-05-03,0.797450
2024-05-06,0.797380
2024-05-07,0.796180
2024-05-08,0.799790
2024-05-09,0.800410
2024-05-10,0.798380
2024-05-13,0.798500
2024-05-14,0.796200
2024-05-15,0.794620
2024-05-16,0.788070
2024-05-17,0.789100
2024-05-20,0.786910
2024-05-21,0.786750
2024-05-22,0.786760
2024-05-23,0.786110
2024-05-24,0.787790
2024-05-27,0.784990
